"PTS","MP","AST","TRB","STL","BLK","TOV","FG.","FT.","eFG.","Pos"
3.99686013614159,11.3,0.9,1.4,0.4,0,0.5,0.418,0.763,0.467,"G"
6.86201336115549,20,0.4,5.5,0.6,0.8,0.5,0.493,0.762,0.552,"F"
5.69343890344546,15.1,1.2,2.1,0.4,0.1,0.9,0.358,0.667,0.443,"G"
4.30795471414993,14.2,0.8,1.2,0.8,0.4,0.8,0.429,0.5,0.5,"G"
5.31633610309308,16.3,1,1.3,1,0.5,1,0.462,0.5,0.538,"G"
0,6,0,1,0,0,0,0,0,0,"G"
3.00772165227596,2.8,0.1,0.9,0.1,0.1,0.1,0.5,1,0.625,"C"
10.326518964644,23.5,1.9,2.7,0.5,0.1,1.2,0.44,0.829,0.503,"F"
5.32396565320403,9.8,0.8,1.5,0,0.5,0.5,0.571,1,0.714,"F"
4.93814088275902,15.5,0.8,2.4,0.5,0.2,0.5,0.495,0.625,0.554,"G"
19.4155055371331,35.7,3.3,4.4,1.1,0.7,1.5,0.468,0.895,0.535,"F"
19.4632430840667,36.4,3.6,4.3,1.2,0.8,1.4,0.463,0.897,0.529,"F"
19.4097723656406,34.2,2.7,4.5,1,0.6,1.8,0.475,0.894,0.543,"F"
4.88215081962896,16.7,0.7,3.4,0.5,0.2,0.5,0.386,0.717,0.461,"F"
12.5276187625842,26,3.7,4.2,0.7,0.3,1.5,0.484,0.87,0.574,"G"
14.352279867389,30.3,2.6,3.3,0.9,0.2,1.4,0.396,0.779,0.468,"F"
13.3614675335939,28.5,3.4,4.1,1.1,0.6,1.5,0.483,0.758,0.545,"G"
2.02681695545993,5.8,0.2,1.2,0.3,0.3,0.4,0.393,0.417,0.411,"F"
23.8042145599056,35.9,3.5,6.9,1.1,0.4,2.9,0.491,0.765,0.55,"F"
2.18712200103502,6.7,0.5,1,0.7,0,0.3,0.571,0.5,0.571,"G"
3.23751376908722,8.2,0.1,3.9,0.1,0.4,0.4,0.635,0.458,0.635,"C"
3.28050308343915,8.5,0.1,4.1,0.1,0.4,0.4,0.635,0.458,0.635,"C"
0,3,0,0,0.5,0,0.5,0,0,0,"C"
0,6,0.5,2,0.8,0,0,0,0,0,"G"
8.86773230400527,24.5,1.3,4.1,0.8,0.2,0.6,0.43,0.872,0.545,"F"
20.1163080471173,35,6.2,3.5,0.9,0.2,2.1,0.491,0.829,0.547,"G"
6.8326392753812,18.3,0.5,5.7,0.3,0.5,0.6,0.623,0.738,0.659,"C"
8.69893186945772,21.4,0.7,6.8,0.3,0.6,0.7,0.654,0.741,0.691,"C"
4.52587631071052,11.4,0.1,3.3,0.1,0.4,0.6,0.485,0.722,0.515,"C"
12.1815364371779,30.3,1.4,3.6,0.7,0.2,0.5,0.409,0.703,0.569,"F"
9.082069845815,22,2.2,3.1,0.7,0.2,1.1,0.436,0.814,0.544,"G"
0,3,0,0,0,0,0,0,0,0,"G"
2.44121383602487,12.8,1.3,0.7,0.8,0,0.8,0.469,0,0.578,"G"
15.7396474035069,33.4,5.3,5.9,1.8,0.3,1.6,0.539,0.85,0.56,"F"
1.60305324841827,11.6,0.6,0.9,0.4,0.5,0.1,0.321,0.75,0.396,"C"
3.7576205599799,13.3,0.7,2.9,0.6,0.1,0.3,0.561,0.773,0.614,"F"
13.9764342097464,31.3,2.4,2.7,1.5,0.5,1.1,0.462,0.824,0.569,"G"
0.791015234487453,6.5,1.1,0.3,0.8,0,0.4,0.231,0.5,0.346,"G"
5.34724183541911,14.8,1.3,2.1,0.4,0.2,0.6,0.476,0.927,0.57,"F"
11.1591669640018,26.6,0.9,11,0.7,1.2,0.8,0.653,0.603,0.653,"C"
2.17672820132451,2.5,0.3,1,0.2,0.2,0.2,0.25,1,0.25,"C"
8.60576489240978,22.3,2.4,2.5,0.8,0.4,1,0.423,0.816,0.549,"G"
16.3847495691987,29.6,2.3,8.7,0.5,0.6,1.9,0.525,0.738,0.591,"C"
4.86823378867673,11,1.8,1.3,0.3,0.3,1,0.429,0.571,0.464,"G"
8.2659506147255,23.5,2.9,2.9,1.5,0.7,1.1,0.455,0.808,0.551,"G"
6.82196629317466,18.8,0.6,3.5,0.4,0.3,0.6,0.454,0.824,0.581,"F"
0,3.5,0,0,0.5,0,0,0,0,0,"F"
8.31065169986309,20.9,0.7,4,0.3,0.3,0.7,0.461,0.824,0.59,"F"
0,6.8,0.8,1.6,0.2,0,0,0.333,0,0.367,"F"
2.31731735154573,3.7,0.3,1.3,0,0,0,1,0,1,"F"
0,11.5,1.5,2,0.5,0,0,0.167,0,0.208,"F"
2.54934005916468,7.8,1.6,1.1,0.3,0.1,0.5,0.422,0.462,0.434,"G"
4.47745424980306,12.5,0.5,1.8,0.2,0.2,0.3,0.415,0.875,0.538,"G"
5.3594915254821,12.3,1.1,1.1,0.5,0.2,0.9,0.465,0.75,0.497,"G"
8.34603770480835,19.5,1.3,5.5,0.6,0.7,1,0.656,0.723,0.658,"F"
22.0749543306904,32.6,4.4,4,0.5,0.2,3,0.444,0.816,0.519,"G"
14.3931731307203,29.9,1.9,9.2,0.9,2.5,1.3,0.705,0.541,0.705,"C"
4.32151109958965,12.5,1.1,1.1,0.1,0.1,0.4,0.386,0.778,0.424,"G"
14.9399616310858,30,1.2,6.5,0.6,1,1.1,0.508,0.803,0.557,"F"
11.7683355823406,22.9,2.9,6.4,0.6,0.8,2,0.518,0.761,0.568,"C"
5.36803346844946,21,0,3,0,1,0,0.6,0.25,0.6,"C"
13.3386297259121,30.3,6.7,2.7,1.1,0.2,1.5,0.428,0.834,0.539,"G"
13.1468946128601,29.7,7.7,2.5,1,0.2,1.7,0.408,0.813,0.511,"G"
13.9863785712659,31.4,5,3.1,1.2,0.2,1.2,0.46,0.863,0.583,"G"
8.14501341731448,23.7,1.3,4.6,0.6,0.2,0.5,0.392,0.659,0.521,"G"
4.40230567607751,12.6,0.6,3.8,0.6,0.4,0.8,0.607,0.4,0.607,"F"
4.93817496709034,16.2,1.2,3.5,0.8,0.7,0.7,0.445,0.75,0.563,"F"
9.97043304135976,24.7,1.5,5.4,0.6,0.8,0.9,0.456,0.711,0.556,"F"
5.461380919326,18.9,1.5,3.8,0.7,0.3,0.4,0.479,0.833,0.606,"F"
4.8109225542175,13.7,0.6,3.8,0.6,0.2,0.7,0.395,0.692,0.407,"G"
22.5408476143743,33.3,6,6.2,0.8,0.6,3.3,0.415,0.837,0.453,"G"
7.83142165637479,19.9,1.6,1.6,0.6,0.1,0.8,0.463,0.927,0.568,"G"
23.6763707584678,34.7,6.3,6.1,0.9,0.4,3.2,0.493,0.915,0.614,"G"
6.20010739937658,17.7,2.3,3.2,0.7,0.2,1,0.418,0.65,0.483,"G"
20.3458403905405,34,2.6,12.5,1.1,2,2.2,0.563,0.784,0.573,"C"
4.53225639058877,15.1,1,2.3,0.4,0.3,0.6,0.386,0.519,0.436,"G"
4.92950969463988,13.1,1,2.2,0.7,0.2,0.8,0.423,0.791,0.545,"G"
2.33114953379386,5.5,0.9,0.8,0.2,0.2,0.3,0.421,0.5,0.474,"G"
2.99977086778651,6.3,0.3,1.5,0,0.3,0,0.417,1,0.542,"F"
4.3549281574585,11.2,0.7,3.5,0.2,0.5,0.7,0.51,0.673,0.55,"C"
4.32363358402364,11.7,0.5,3.6,0.2,0.5,0.6,0.496,0.727,0.539,"C"
2.92913719088396,9.5,1.3,3.1,0.3,0.6,0.8,0.591,0.2,0.614,"C"
2.09082024248023,6.7,1.3,0.4,0.2,0,0.3,0.34,0.571,0.43,"G"
21.1550168078112,36.2,5.1,4.6,1.1,0.5,2.1,0.504,0.872,0.522,"F"
3.34587558699888,8.9,0.2,2.3,0.3,0.4,0.4,0.511,0.625,0.521,"F"
4.54642641267459,8,0.4,1.4,0.2,0.4,0.5,0.48,1,0.55,"F"
7.76767991653087,17.8,1,3.5,0.9,0.3,1.3,0.573,0.588,0.58,"G"
4.95948058288939,11.5,1.7,3.5,0.1,0.5,1,0.385,0.769,0.474,"C"
4.70239752075158,14.6,1.2,2.7,0.4,0.2,0.7,0.42,0.652,0.492,"F"
18.5190079057481,34.5,6.5,3.4,0.8,0.3,1.8,0.438,0.812,0.524,"G"
18.5669179650935,34.1,5.3,3.1,0.7,0.3,1.7,0.455,0.821,0.555,"G"
18.5088776154714,35.3,9.1,4.1,1.1,0.3,2.1,0.404,0.797,0.465,"G"
11.7160943595441,26.3,3.5,4.5,1.3,0.1,1.6,0.435,0.817,0.574,"G"
24.44867222208,36.2,8,8.6,1.4,0.5,3.6,0.496,0.742,0.56,"G"
2.14094924094904,2.7,0,0.7,0,0,0,0.8,0,0.9,"G"
14.493039338011,30.7,2.1,4.6,1,0.3,1.2,0.388,0.772,0.466,"G"
11.7485089348911,26.2,2.6,2.8,0.8,0.3,1.2,0.493,0.805,0.545,"G"
0,8.8,1.3,1.7,0.8,0,0.5,0.1,0,0.15,"G"
